CourseCode,ShortTitle,LongTitle,BeginTime,EndTime,Meets,Building,Room,Enrollment,Capacity
ABRD 300  A,STUDY ABROAD,STUDY ABROAD,NULL,NULL,,OFFCP,NULL,17,20
ACCT 202  A,PRIN OF ACCOUNT,PRINCIPLES OF ACCOUNTING II,8:00:00,8:50:00,MWF,HAL,306,37,44
ACCT 202  A,PRIN OF ACCOUNT,PRINCIPLES OF ACCOUNTING II,16:00:00,17:50:00,R,HAL,310,37,37
ACCT 202  B,PRIN OF ACCOUNT,PRINCIPLES OF ACCOUNTING II,11:00:00,11:50:00,MWF,HAL,304,36,43
ACCT 202  B,PRIN OF ACCOUNT,PRINCIPLES OF ACCOUNTING II,16:00:00,17:50:00,M,HAL,310,36,43
ACCT 202  C,PRIN OF ACCOUNT,PRINCIPLES OF ACCOUNTING II,9:00:00,9:50:00,MWF,HAL,306,35,42
ACCT 202  C,PRIN OF ACCOUNT,PRINCIPLES OF ACCOUNTING II,16:00:00,17:50:00,R,HAL,310,35,42
ACCT 202  D,PRIN OF ACCOUNT,PRINCIPLES OF ACCOUNTING II,13:00:00,13:50:00,MWF,HAL,309,31,37
ACCT 202  D,PRIN OF ACCOUNT,PRINCIPLES OF ACCOUNTING II,16:00:00,17:50:00,M,HAL,308,31,37
ACCT 302  A,INTERMED ACCTNG,INTERMEDIATE ACCOUNTING II,10:00:00,10:50:00,MWF,HAL,309,21,25
ACCT 302  A,INTERMED ACCTNG,INTERMEDIATE ACCOUNTING II,16:00:00,17:50:00,R,HAL,308,21,21
ACCT 302  B,INTERMED ACCTNG,INTERMEDIATE ACCOUNTING II,11:00:00,11:50:00,MWF,HAL,309,26,26
ACCT 302  B,INTERMED ACCTNG,INTERMEDIATE ACCOUNTING II,16:00:00,17:50:00,R,HAL,308,26,31
ACCT 321  A,ACCT INFO SYST,ACCT INFORMATION SYSTEMS,8:00:00,9:15:00,TR,HAL,309,31,31
ACCT 402  A,ADVANCED ACCOUN,ADVANCED ACCOUNTING II,11:30:00,12:45:00,TR,HAL,309,31,37
ACCT 404  A,ADV AUDITING,ADV AUDITING,10:05:00,11:20:00,TR,HAL,216,11,13
ACCT 406  A,ADV TAX ACCT,ADVANCED TAX ACCT,18:30:00,21:00:00,T,HAL,309,7,7
ACCT 410  A,CONT ACCT THEOR,CONTEMP ACCT THEORY/PRACTICE,8:00:00,9:15:00,TR,HAL,306,14,16
ACCT 460  A,INDEPENDENT STU,INDEPENDENT STUDY,NULL,NULL,,NULL,NULL,2,2
ACCT 480  A,INTERN IN ACCT,INTERNSHIP IN ACCOUNTING,NULL,NULL,,NULL,NULL,1,1
ACCT 480  B,INTERN IN ACCT,INTERNSHIP IN ACCOUNTING,NULL,NULL,,NULL,NULL,1,1
ART  103  A,BEGIN HAND BLD,BEGINNING HAND BUILDING,13:00:00,14:15:00,TR,PFAC,47,13,15
ART  104  A,BEGIN WHEEL THR,BEGINNING WHEEL THROWING,10:05:00,11:20:00,TR,PFAC,47,11,13
ART  105  A,PAINTING,PAINTING,15:00:00,16:15:00,MW,PFAC,45,21,25
ART  106  A,DESIGN THINK,INTRO TO DESIGN THINKING,14:30:00,15:45:00,TR,PFAC,45,19,22
ART  111  A,SCULPTURE,SCULPTURE,15:00:00,17:30:00,W,PFAC,46,12,14
ART  202  A,HIST/APPR ART,HIST & APPREC OF ART II,10:05:00,11:20:00,TR,PFAC,112,18,21
ART  207  A,ADV CERAMICS,ADVANCED CERAMICS,14:30:00,15:45:00,TR,PFAC,47,8,8
ART  210  A,INTRO VIS COMM,INTRO TO VISUAL COMM DESIGN,13:00:00,14:15:00,TR,PFAC,45,21,25
ART  215  A,INTERACT DESIGN,INTERACTIVE DESIGN AND USER EXP,18:30:00,21:00:00,W,PFAC,45,11,11
ART  321  A,TEACH ELEM ART,TEACHING ELEMENTARY ART,16:00:00,16:50:00,T,PFAC,45,25,25
ART  390  A,VISUAL COMM II,VISUAL COMMUNICATION DESIGN II,10:05:00,11:20:00,TR,PFAC,45,12,14
ASTR 207  A,STARS/GAL/COSMO,INTRO TO STARS/GALAXIES/COSMOLOGY,13:00:00,13:50:00,MWF,HAL,113,55,66
ASTR 310  A,INTRO TO ASTRO,INTRODUCTION TO ASTROPHYSICS,10:05:00,11:20:00,TR,STEM,140B,6,7
BIOL 102  A,GEN BIOL II,GENERAL BIOLOGY II,8:00:00,8:50:00,MWF,HAL,308,52,52
BIOL 102  B,GEN BIOL II,GENERAL BIOLOGY II,9:00:00,9:50:00,MWF,HAL,308,56,67
BIOL 102  L    L,LABORATORY,LABORATORY,14:00:00,16:59:00,M,STEM,145,25,30
BIOL 102  M    L,LABORATORY,LABORATORY,10:05:00,12:59:00,T,STEM,145,27,27
BIOL 102  N    L,LABORATORY,LABORATORY,14:30:00,17:29:00,T,STEM,145,26,31
BIOL 102  O    L,LABORATORY,LABORATORY,14:00:00,16:59:00,W,STEM,145,17,20
